"Vehicle Name","Vehicle Price Range","Battery Capacity","Range (Jarak Tempuh)","Power/Horsepower","Seating Capacity","Charging time","Source URL","Is EV"
"Wuling Air EV","Rp 214 - 307,5 Juta","26.7 kWh","200 - 300 km","40 hp","4 Kursi","8.5 Jam","https://www.oto.com/mobil-baru/wuling/ev",TRUE
"VinFast VF 5","Rp 323,17 Juta","29.6 kWh","260 km","94 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/vinfast/vf-5",TRUE
"MG 4 EV","Rp 345 - 419 Juta","51 - 64 kWh","425 km","168 - 201 hp","5 Kursi","35 Menit","https://www.oto.com/mobil-baru/mg/4-ev",TRUE
"BYD M6","Rp 383 - 433 Juta","55.4 - 71.8 kWh","420 - 530 km","154 hp","6 - 7 Kursi","40 Menit","https://www.oto.com/mobil-baru/byd/m6",TRUE
"Wuling Binguo EV","Rp 279 - 332 Juta","31.9 - 37.9 kWh","333 - 410 km","67 hp","5 Kursi","35 Menit","https://www.oto.com/mobil-baru/wuling/binguo-ev",TRUE
"VinFast VF e34","Rp 411,86 Juta","41.9 kWh","318 km","147 hp","5 Kursi","27 Menit","https://www.oto.com/mobil-baru/vinfast/vf-e34",TRUE
"Wuling Cloud EV","Rp 415 - 443 Juta","50.6 kWh","460 km","134 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/wuling/cloud",TRUE
"BYD Seal","Rp 639 - 750 Juta","82.56 kWh","580 - 650 km","313 - 530 hp","5 Kursi","37 Menit","https://www.oto.com/mobil-baru/byd/seal",TRUE
"BYD Dolphin","Rp 369 - 429 Juta","44.9 - 60.48 kWh","410 - 490 km","95 - 204 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/byd/dolphin",TRUE
"CHERY E5","Rp 379,9 - 419,9 Juta","61 kWh","430 km","208 hp","5 Kursi","28 Menit","https://www.oto.com/mobil-baru/chery/e5",TRUE
"BYD Atto 3","Rp 390 - 520 Juta","49.92 - 60.48 kWh","410 - 480 km","204 hp","5 Kursi","45 Menit","https://www.oto.com/mobil-baru/byd/atto-3",TRUE
"Neta V-II","Rp 299 Juta","40.7 kWh","401 km","94 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/neta/v-ii",TRUE
"Farizon SV","Rp 698 Juta","82.88 kWh","415 km","227 hp","16 Kursi","45 Menit","https://www.oto.com/mobil-baru/farizon/sv",TRUE
"VinFast Limo Green","Rp 389 Juta","60.13 kWh","400 km","201 hp","7 Kursi","30 Menit","https://www.oto.com/mobil-baru/vinfast/limo-green",TRUE
"ZEEKR 7X","Rp 1,1 Milyar","100 kWh","605 - 780 km","637 hp","5 Kursi","15 Menit","https://www.oto.com/mobil-baru/zeekr/7x",TRUE
"Suzuki e-Vitara","Rp 755 - 758 Juta","61 kWh","400 km","172 hp","5 Kursi","60 Menit","https://www.oto.com/mobil-baru/suzuki/e-vitara",TRUE
"MG S5 EV","Rp 333,9 - 455,9 Juta","49 kWh","420 km","168 hp","5 Kursi","35 Menit","https://www.oto.com/mobil-baru/mg/s5-ev",TRUE
"BYD Atto 4","Rp 26,6 - 31,6 Juta","82.5 kWh","700 km","308 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/byd/atto-4",TRUE
"Geely Star Wish","Rp 26,6 - 31,6 Juta","40 kWh","310 - 410 km","115 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/geely/star-wish",TRUE
"BYD Denza Z9 GT","Rp 26,6 - 31,6 Juta","101 kWh","630 km","951 hp","5 Kursi","20 Menit","https://www.oto.com/mobil-baru/byd/denza-z9-gt",TRUE
"Wuling E200","Rp 480 Juta","24 kWh","250 km","39 hp","2 Kursi","10 Jam","https://www.oto.com/mobil-baru/wuling/e200",TRUE
"JAECOO J6","Rp 26,6 - 31,6 Juta","69.8 kWh","501 km","279 hp","5 Kursi","30 Menit","https://www.oto.com/mobil-baru/jaecoo/j6",TRUE
"Changan Lumin","Rp 178 Juta","28.08 kWh","301 km","47 hp","4 Kursi","9.5 Jam","https://www.oto.com/mobil-baru/changan/lumin",TRUE
"Mercedes Benz G-Class Electric","Rp 5,9 Milyar","116 kWh","473 km","587 hp","5 Kursi","32 Menit","https://www.oto.com/mobil-baru/mercedes-benz/g-class-electric",TRUE
"DFSK Seres E1","Rp 189 - 219 Juta","13.8 - 16.8 kWh","180 - 220 km","34 - 40 hp","4 Kursi","4 - 4.5 Jam","https://www.oto.com/mobil-baru/dfsk/seres-e1",TRUE
