ux,uy,nearest_station_km,latitude,longitude
748876.9379844961,9317204.457364341,14.08,-6.172473,107.248981
677298.1927710845,9284715.863453815,12.91,-6.468596,106.603269
736962.396694215,9268104.545454545,19.35,-6.616771,107.143216
667288.8235294119,9257350.0,21.74,-6.716341,106.513529
727561.4754098362,9331868.266978923,13.84,-6.040685,107.055945
660958.5987261147,9291375.796178345,13.22,-6.408813,106.455376
738377.7602523661,9278950.315457413,12.37,-6.518674,107.155589
704425.6756756756,9251412.162162162,11.78,-6.768874,106.849617
681653.8461538462,9258713.461538462,15.88,-6.703594,106.643419
738194.1747572817,9325015.776699029,13.66,-6.102259,107.15221
668532.0512820513,9333211.538461538,10.42,-6.030292,106.52275
724585.8531317496,9272551.295896329,13.11,-6.577041,107.031161
726460.2272727274,9340623.579545455,21.99,-5.96157,107.045705
661962.598425197,9265232.939632546,14.3,-6.645201,106.465139
673388.6946386948,9266223.193473194,14.48,-6.63593,106.568448
